iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
185,858.72,1,9.85937,10.9526,43.7428,75.9278,0.301465,0.0613595,0.56961,0.255859,0.504533,0.267631,0.843251
186,860.003,1,9.81822,11.2392,43.6541,82.3348,0.301542,0.0629741,0.663558,0.252062,0.484337,0.263722,0.869419
187,861.709,1,9.82418,10.5538,43.5262,79.7963,0.303224,0.0618881,0.619228,0.245824,0.538944,0.264066,0.878674
188,861.556,1,9.81757,10.8474,43.2804,81.3002,0.30422,0.0614992,0.61806,0.246461,0.544687,0.267437,0.868388
189,853.549,1,9.8088,10.7684,43.0433,79.9525,0.304507,0.0586846,0.592667,0.254003,0.515351,0.277825,0.861167
190,854.219,1,9.83277,10.9377,43.3305,79.0341,0.306032,0.0592469,0.672866,0.251802,0.507426,0.276434,0.895052
191,855.63,1,9.8418,10.8645,42.7643,75.7514,0.308101,0.0594204,0.662929,0.246544,0.496921,0.280794,0.893728
192,858.425,1,9.78005,10.8133,43.4148,79.4027,0.304348,0.0620274,0.687955,0.248209,0.479305,0.271712,0.87847
193,865.511,1,9.85459,10.7342,43.1414,78.8082,0.30289,0.0644661,0.724847,0.246166,0.49083,0.288869,0.875779
194,865.077,1,9.82143,10.7383,42.5956,75.0652,0.302866,0.0637361,0.69767,0.245352,0.527163,0.275948,0.877238
195,866.933,1,9.82829,11.1404,42.1386,73.3119,0.306247,0.0632012,0.656529,0.247179,0.54425,0.271689,0.853576
196,863.762,1,9.88974,11.1084,43.2781,75.4735,0.300972,0.0631033,0.673947,0.250591,0.520833,0.275842,0.899474
197,861.519,1,9.88599,10.8581,43.0336,75.4362,0.301582,0.0641485,0.718343,0.244205,0.508472,0.264529,0.851499
198,860.634,1,9.87451,11.1449,42.708,78.181,0.305644,0.0619982,0.685855,0.249172,0.524942,0.267371,0.853813
199,864.97,1,9.95134,11.0434,43.7314,74.4298,0.302477,0.0636641,0.601273,0.257766,0.501547,0.277346,0.792935
200,861.374,1,9.98911,11.0371,42.6549,69.8047,0.305991,0.0613515,0.643967,0.257271,0.559258,0.27268,0.792588
201,858.069,1,10.0497,12.2832,41.7103,63.0974,0.3106,0.0591713,0.601097,0.250118,0.515257,0.288811,0.82212
202,863.085,1,10.0617,12.3278,41.523,56.814,0.311423,0.0601411,0.533657,0.252837,0.493671,0.279721,0.870237
203,862.893,1,10.0005,11.7136,42.1278,59.4073,0.307144,0.061126,0.52508,0.250324,0.505344,0.282283,0.82601
204,862.975,1,9.98648,11.2475,42.3157,62.0767,0.304851,0.0614193,0.52547,0.247866,0.512056,0.287723,0.825476
205,861.416,1,9.94385,11.3974,42.81,65.0815,0.303298,0.0611661,0.551744,0.255113,0.516121,0.271392,0.86721
206,866.395,1,9.93961,11.3858,42.3233,68.268,0.312855,0.060724,0.59756,0.256675,0.536267,0.286352,0.830004
207,867.1,1,9.92529,11.9237,41.9308,69.9273,0.305603,0.061174,0.540843,0.258361,0.562542,0.287281,0.855197
208,862.605,1,9.96115,12.0194,41.7938,66.6211,0.301025,0.0620986,0.613921,0.252174,0.540822,0.289806,0.820393
209,861.645,1,9.96365,11.7988,41.7809,67.3723,0.307028,0.0612671,0.634266,0.253132,0.523891,0.287447,0.803952
210,860.886,1,9.9186,11.5785,41.9097,67.3678,0.305167,0.0607962,0.627929,0.261358,0.5255,0.295365,0.802826
211,859.769,1,9.95733,11.4389,41.9362,68.0297,0.31227,0.0590452,0.565004,0.268965,0.49845,0.283609,0.810168
212,854.833,1,9.94807,11.3648,42.325,68.7052,0.307347,0.0589981,0.571962,0.263853,0.499785,0.273803,0.806675
213,856.001,1,9.90821,11.2642,42.813,70.8037,0.308334,0.0580628,0.621757,0.268716,0.512848,0.294065,0.856645
214,856.736,1,9.91238,10.4875,43.097,68.6815,0.302996,0.0604693,0.637765,0.256721,0.498332,0.287126,0.841788
215,861.328,1,9.85851,10.6549,42.7149,69.4477,0.312722,0.0602929,0.678025,0.26327,0.507314,0.286343,0.82003
216,865.301,1,9.87717,10.6916,42.5661,67.5785,0.310481,0.0631845,0.580433,0.263549,0.435634,0.274985,0.78735
