iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
217,284.709,1,2.8277,0.617655,24.9592,5.41418,329.982,0.333684,0.251934,0.242502,0.21628,0.027131
218,289.219,1,2.8326,0.587712,24.7298,5.43391,329.467,0.329175,0.249406,0.246116,0.204923,0.0277807
219,284.385,1,2.84454,0.533638,24.5452,5.42828,326.989,0.327507,0.247589,0.239884,0.176918,0.0272551
220,283.017,1,2.84265,0.613061,24.2868,5.51344,324.052,0.320697,0.247208,0.23381,0.147415,0.0274654
221,284.897,1,2.84396,0.645434,24.3267,5.58193,323.45,0.315569,0.240949,0.25504,0.166374,0.0274608
222,288.909,1,2.8639,0.677317,24.6805,5.57718,318.396,0.327332,0.240225,0.250826,0.206714,0.0278421
223,290.858,1,2.84806,0.705656,24.2749,5.61442,317.277,0.334418,0.234194,0.265063,0.240113,0.027939
224,281.432,1,2.86674,0.677959,24.3645,5.53527,317.773,0.333814,0.230255,0.258351,0.238688,0.0271218
225,278.381,1,2.91759,0.599105,24.7382,5.46171,315.352,0.325362,0.224424,0.25181,0.19379,0.0267456
226,280.955,1,2.89013,0.604801,24.8128,5.49803,318.247,0.333583,0.22196,0.245434,0.192968,0.027347
227,286.44,1,2.87134,0.622814,24.6414,5.56611,319.086,0.343281,0.227556,0.239219,0.232709,0.0281426
228,292.193,2,2.83622,0.695699,24.6635,5.6659,320.582,0.339507,0.23301,0.246791,0.203854,0.0283615
229,288.667,2,2.88044,0.658605,24.6189,5.58589,317.295,0.33091,0.237211,0.24732,0.157708,0.0279827
230,280.364,2,2.90272,0.608551,24.2152,5.61834,316.024,0.305282,0.224644,0.234614,0.160242,0.0274083
231,281.565,2,2.89169,0.617635,24.381,5.52765,315.177,0.316614,0.233528,0.23655,0.164848,0.02724
232,286.677,2,2.89211,0.644068,24.7366,5.63287,315.059,0.324277,0.247219,0.248511,0.166055,0.0274416
233,282.287,2,2.90614,0.601807,24.8195,5.48316,318.247,0.314283,0.243066,0.229016,0.206965,0.0274363
