iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
117,755.647,1,5.72286,10.0941,43.4285,39.0504,0.302132,0.0702605,0.749345,0.592371,0.998761,0.183923,0.440264,0.266976,0.212984
118,753.056,1,5.77365,10.4526,43.6156,39.1798,0.298558,0.0711272,0.740713,0.590917,0.998761,0.182669,0.427099,0.273958,0.218175
119,754.818,1,5.82876,10.6807,43.5536,39.0707,0.302549,0.0701792,0.72105,0.585798,0.998761,0.183873,0.427903,0.280317,0.222481
120,754.284,1,5.79211,10.8059,43.5556,39.099,0.298701,0.0710265,0.717636,0.589926,0.998761,0.178352,0.41825,0.284753,0.224436
121,752.404,1,5.84519,10.7128,43.2894,38.9415,0.298951,0.0700098,0.739153,0.586262,0.998761,0.178226,0.408596,0.283723,0.223983
122,748.071,1,5.81681,10.6482,43.1983,38.8525,0.298295,0.0695296,0.732123,0.585994,0.998761,0.180453,0.398462,0.282203,0.223306
123,752.653,1,5.83,10.5222,43.0837,38.7447,0.298342,0.0718984,0.718229,0.587197,0.998761,0.182159,0.374336,0.279842,0.222018
124,754.778,1,5.82629,10.8088,43.0897,38.7323,0.296704,0.0718291,0.716573,0.57991,0.998761,0.176579,0.419324,0.28281,0.225365
125,757.697,1,5.67273,10.5428,43.185,38.8368,0.30102,0.0714949,0.751277,0.60998,0.998761,0.179724,0.391741,0.285059,0.227294
126,756.109,1,5.68931,10.398,43.0847,38.7265,0.293472,0.0730657,0.745867,0.603646,0.998761,0.176784,0.419156,0.289274,0.231442
127,755.099,1,5.78145,10.3842,44.0216,39.4084,0.291048,0.0734743,0.767441,0.595112,0.998761,0.177161,0.402175,0.294911,0.236218
128,754.989,1,5.6337,10.3076,44.0821,39.3939,0.295664,0.0712123,0.748532,0.62536,0.998761,0.176753,0.416069,0.290916,0.234152
129,756.141,1,5.74028,10.729,43.9303,39.2658,0.294714,0.0709712,0.782173,0.602646,0.998761,0.173364,0.43067,0.293359,0.237232
130,752.04,1,5.78415,10.9647,43.8864,39.3063,0.294541,0.0701303,0.768231,0.591999,0.998761,0.171273,0.407099,0.294027,0.237135
131,753.215,1,5.76134,10.6898,43.8834,39.3667,0.295782,0.0712412,0.774162,0.598742,0.998761,0.173395,0.417149,0.288734,0.232766
132,749.667,1,5.78389,10.7891,43.5689,39.1372,0.300372,0.0685792,0.7641,0.593713,0.998761,0.179029,0.429372,0.286447,0.232746
133,750.819,1,5.70336,10.5841,43.6667,39.1502,0.300092,0.0685848,0.747086,0.607115,0.998761,0.185892,0.376595,0.289915,0.234595
134,754.419,1,5.76994,10.8958,43.6315,39.105,0.298448,0.068925,0.742257,0.597943,0.998761,0.182082,0.429712,0.284645,0.231621
135,755.625,1,5.81904,10.6247,43.8006,39.2028,0.297678,0.0689958,0.779679,0.590095,0.998761,0.179825,0.476382,0.286213,0.234912
136,758.576,1,5.64167,11.0603,43.1034,38.7486,0.303093,0.0679433,0.773978,0.608012,0.998761,0.184166,0.452515,0.295419,0.24408
137,754.564,1,5.74915,11.0041,42.8455,38.6474,0.301241,0.069449,0.766183,0.596286,0.998761,0.18611,0.461699,0.303995,0.249838
